text,label,domain,source,dataset,text_lemma,neutral,disgust,anger,surprise,sadness,fear,joy,vader_neg,vader_neu,vader_pos,vader_compound,urgency,authority,doubt,urgency_presence,authority_presence,doubt_presence,authority_to_doubt_ratio,urg_score,auth_score
coronavirus was created in a government lab as a bioweapon and then released on the people of china,misinformation,covid,cdl,covid_19_rumor,coronavirus create government lab bioweapon release people china,0.7188491821289062,0.1615940779447555,0.0438035614788532,0.0280123110860586,0.0200757347047328,0.0170364417135715,0.0106286294758319,0.0,0.895,0.105,0.25,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
the health experts had predicted the virus could kill 65 million people in a year,misinformation,covid,cdl,covid_19_rumor,health expert predict virus kill 65 million people year,0.0177902430295944,0.0070038130506873,0.0703705996274948,0.0376643128693103,0.1895952522754669,0.6715355515480042,0.0060402210801839,0.251,0.749,0.0,-0.6908,0.4,0.2,0.3,1,1,1,0.6666644444518519,0.4,0.2
"a video clip supposedly showed that the exponential spread of a new coronavirus faster than sars, ebola, and swine flu",misinformation,covid,cdl,covid_19_rumor,video clip supposedly show exponential spread new coronavirus fast sar ebola swine flu,0.2723123431205749,0.0208288021385669,0.054454356431961,0.5106238126754761,0.0078760869801044,0.0713926777243614,0.0625119134783744,0.12,0.88,0.0,-0.3818,0.2,0.0,0.6,1,0,1,0.0,0.2,0.0
"the centers for disease control and prevention (cdc) announced that covid-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",misinformation,covid,cdl,covid_19_rumor,center disease control prevention cdc announce covid-19 disease cause coronavirus find toilet paper people use wet cloth instead,0.472240686416626,0.2123876959085464,0.0748486518859863,0.028185848146677,0.1293240487575531,0.0521978437900543,0.0308151841163635,0.0,1.0,0.0,0.0,1.0,0.0,0.9,1,0,1,0.0,1.0,0.0
"a viral social media post advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection",misinformation,covid,cdl,covid_19_rumor,viral social medium post advise public throat moist order avoid contract respiratory infection,0.2186657190322876,0.3627153933048248,0.1017535775899887,0.0310441795736551,0.0819804891943931,0.168645292520523,0.0351954065263271,0.099,0.901,0.0,-0.296,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
japanese doctors advice that taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs,misinformation,covid,cdl,covid_19_rumor,japanese doctor advice take sip water 15 min prevent new coronavirus enter windpipe lung,0.6961247324943542,0.0402804464101791,0.0222164541482925,0.0168936681002378,0.0403119474649429,0.1792381107807159,0.0049346159212291,0.0,0.954,0.046,0.0258,0.4,0.1,0.6,1,1,1,0.1666663888893518,0.4,0.1
"if you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no covid-19 infection",misinformation,covid,cdl,covid_19_rumor,hold breath cough discomfort stiffness tightness lung suffer fibrosis covid-19 infection,0.1922577023506164,0.0413222461938858,0.0903440415859222,0.0038910948205739,0.1203043460845947,0.4094604849815368,0.142420157790184,0.072,0.757,0.171,0.4556,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
a homemade hand sanitizer made with tito's vodka can be used to fight the new coronavirus,misinformation,covid,cdl,covid_19_rumor,homemade hand sanitizer tito vodka fight new coronavirus,0.8079480528831482,0.0533060617744922,0.0291271824389696,0.0269583128392696,0.016016948968172,0.0200125873088836,0.0466307662427425,0.131,0.707,0.162,0.1531,0.1,0.4,0.6,1,1,1,0.6666655555574075,0.1,0.4
using a hair dryer to breathe in hot air can cure covid-19 and stop its spread,misinformation,covid,cdl,covid_19_rumor,hair dryer breathe hot air cure covid-19 stop spread,0.8882571458816528,0.0180834215134382,0.0529597103595733,0.007240732666105,0.0140173779800534,0.0087693072855472,0.0106722824275493,0.128,0.872,0.0,-0.296,0.0,0.0,1.0,0,0,1,0.0,0.0,0.0
drinking boiled garlic water will cure covid-19,misinformation,covid,cdl,covid_19_rumor,drink boil garlic water cure covid-19,0.6213496923446655,0.0209327414631843,0.0162854548543691,0.0094347642734646,0.0229956954717636,0.0028228920418769,0.3061788082122803,0.0,1.0,0.0,0.0,0.8,0.0,0.6,1,0,1,0.0,0.8,0.0
