text,label,source,dataset,domain,text_lemma,neutral,joy,surprise,sadness,fear,anger,disgust,vader_neg,vader_neu,vader_pos,vader_compound,urgency,authority,doubt,urgency_presence,authority_presence,doubt_presence,authority_to_doubt_ratio,auth_score,urg_score
the polar bear population has been growing.,misinformation,cdl,climate_fever,climate,polar bear population grow,0.5256226062774658,0.18121522665023804,0.09251466393470764,0.07499480247497559,0.07016120105981827,0.04308737441897392,0.012404125183820724,0.0,0.779,0.221,0.1779,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
ironic' study finds more co2 has slightly cooled the planet,misinformation,cdl,climate_fever,climate,ironic study find co2 slightly cool planet,0.4362097382545471,0.027292147278785706,0.25737464427948,0.1269039511680603,0.01951400749385357,0.10754036903381348,0.025165079161524773,0.143,0.857,0.0,-0.128,0.2,0.0,0.5,1,0,1,0.0,0.0,0.2
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,misinformation,cdl,climate_fever,climate,human addition co2 margin error current measurement gradual increase co2 mainly ocean degas planet slowly emerge ice age,0.9067149758338928,0.003600442549213767,0.03708131983876228,0.015497181564569473,0.006168527994304895,0.014196107164025307,0.016741545870900154,0.073,0.865,0.062,-0.1027,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
it’s not a pollutant that threatens human civilization.,misinformation,cdl,climate_fever,climate,pollutant threaten human civilization,0.23117521405220032,0.003937056288123131,0.006279803346842527,0.03022398054599762,0.32039836049079895,0.2485322654247284,0.1594533771276474,0.271,0.729,0.0,-0.3818,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"if co2 was so terrible for the planet, then installing a co2 generator in a greenhouse would kill the plants.",misinformation,cdl,climate_fever,climate,co2 terrible planet instal co2 generator greenhouse kill plant,0.0011073732748627663,0.002008285606279969,0.0023646389599889517,0.006980573758482933,0.8827980160713196,0.059939611703157425,0.04480146989226341,0.326,0.674,0.0,-0.8655,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"sea level rise has been slow and a constant, pre-dating industrialization",misinformation,cdl,climate_fever,climate,sea level rise slow constant pre dating industrialization,0.7680951356887817,0.00893536489456892,0.09590747207403183,0.03477054834365845,0.03804102912545204,0.033926017582416534,0.020324403420090675,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,misinformation,cdl,climate_fever,climate,harvard study find wind turbine create global warming fossil fuel eliminate,0.3405955135822296,0.03493831306695938,0.11585555225610733,0.18593819439411163,0.020669156685471535,0.2640259861946106,0.03797732666134834,0.0,0.779,0.221,0.4549,0.8,0.2,0.4,1,1,1,0.49999875000312505,0.2,0.8
"ice berg melts, ocean level remains the same.",misinformation,cdl,climate_fever,climate,ice berg melt ocean level remain,0.6402303576469421,0.009963344782590866,0.052985820919275284,0.08697284758090973,0.023237543180584908,0.12872861325740814,0.05788148567080498,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age.,misinformation,cdl,climate_fever,climate,scientist study antarctica sea ice warn rise accumulation spark ice age,0.01358406338840723,0.0014224787009879947,0.003028204431757331,0.012688502669334412,0.958653450012207,0.007313635665923357,0.003309673396870494,0.081,0.809,0.11,0.128,0.2,0.1,0.6,1,1,1,0.16666638888935187,0.1,0.2
unprecedented climate change has caused sea level at sydney harbour to rise approximately 0.0 cm over the past 140 years.,misinformation,cdl,climate_fever,climate,unprecedented climate change cause sea level sydney harbour rise approximately 0.0 cm past 140 year,0.09344466030597687,0.007719069719314575,0.29382553696632385,0.020088382065296173,0.4554857313632965,0.11280937492847443,0.016627278178930283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
